Item,Qty.,Price (USD),Link,Distributor
"PCB",1,2,"https://jlcpcb.com/","JLCPCB"
"Stencil",1,3.05,"https://jlcpcb.com/","JLCPCB"
"JLCPCB Shipping",1,11.80,"https://jlcpcb.com/","JLCPCB"
"ESP32-C3-MINI-1-N4",1,3.15,"https://www.lcsc.com/product-detail/C2838502.html","LCSC"
"CC0805KRX7R9BB104",6,0.53,"https://www.lcsc.com/product-detail/C49678.html","LCSC"
"CL21A226KOQNNNE",1,0.6,"https://www.lcsc.com/product-detail/C296720.html","LCSC"
"GRM21BR71H105KA12L",1,0.77,"https://www.lcsc.com/product-detail/C77083.html","LCSC"
"GRM21BR61H106KE43L",2,0.69,"https://www.lcsc.com/product-detail/C440198.html","LCSC"
"VJ0805A471FXACW1BC",2,1.47,"https://www.lcsc.com/product-detail/C1850692.html","LCSC"
"FRC0805F1002TS",4,0.2,"https://www.lcsc.com/product-detail/C2907219.html","LCSC"
"FRC0805F1001TS",4,0.2,"https://www.lcsc.com/product-detail/C2907232.html","LCSC"
"FRC0805F1201TS",1,0.2,"https://www.lcsc.com/product-detail/C2933293.html","LCSC"
"RC0805FR-07100RL",2,0.27,"https://www.lcsc.com/product-detail/C105577.html","LCSC"
"0805W8F5101T5E",4,0.27,"https://www.lcsc.com/product-detail/C27834.html","LCSC"
"0805W8F0000T5E",1,0.23,"https://www.lcsc.com/product-detail/C17477.html","LCSC"
"USBLC6-2SC6",1,0.76,"https://www.lcsc.com/product-detail/C7519.html","LCSC"
"PESD5V0L1ULD",1,0.45,"https://www.lcsc.com/product-detail/C552557.html","LCSC"
"TYPE-C-31-M-12",1,0.86,"https://www.lcsc.com/product-detail/C165948.html?s_z=n_C165948","LCSC"
"AP2112K-3.3",1,0.82,"https://www.lcsc.com/product-detail/C51118.html","LCSC"
"TS-1088-AR02016",2,0.54,"https://www.lcsc.com/product-detail/C720477.html","LCSC"
"TP4056-42-ESOP8",1,0.93,"https://www.lcsc.com/product-detail/C16581.html","LCSC"
"DW01A",1,0.86,"https://www.lcsc.com/product-detail/C351410.html","LCSC"
"FS8205A",1,0.47,"https://www.lcsc.com/product-detail/C2830320.html","LCSC"
"SS8550",1,0.52,"https://www.lcsc.com/product-detail/C727138.html","LCSC"
"2.54-1*20P",1,0.69,"https://www.lcsc.com/product-detail/C50981.html","LCSC"
"S2B-PH-K-S(LF)(SN)",1,0.76,"https://www.lcsc.com/product-detail/C173752.html","LCSC"
"YLED0805B",1,0.84,"https://www.lcsc.com/product-detail/C19273154.html","LCSC"
"YLED0805R",1,0.81,"https://www.lcsc.com/product-detail/C19171391.html","LCSC"
"LCSC Shipping",1,10.42,"https://www.lcsc.com/","LCSC"
"103040 3.7v 1200mAh Li-ion Battery",1,5.91,"https://www.aliexpress.com/item/1005007995684160.html","AliExpress"
"Passive Buzzer",1,2.26,"https://www.aliexpress.com/item/1005007144511679.html","AliExpress"
"Button Switches 8x8",2,1.97,"https://www.aliexpress.com/item/32874871399.html","AliExpress"
"M3 4mm",2,2.55,"https://www.aliexpress.com/item/4000981220901.html","AliExpress"
"M3 6mm",4,2.52,"https://www.aliexpress.com/item/4000981220901.html","AliExpress"
"M3 heat inserts",6,2.87,"https://www.aliexpress.com/item/1005008666672949.html","AliExpress"
"3D parts",5,7,"Printing legion","Hack club"
"AS3935 and MA5532-AE",1,21.83,"https://www.aliexpress.com/item/32828658129.html","AliExpress"
"AliExpress Shipping",1,1.71,"https://www.aliexpress.com/","AliExpress"
